age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
35,4,8762,14,6,0,4,1,4,1,0,76,56,39,1
34,4,1951,9,4,0,4,1,4,1,0,76,45,39,1
43,6,9404,11,15,4,4,1,2,1,0,76,45,39,1
46,1,17671,10,7,0,4,1,4,0,0,76,56,39,1
36,4,3870,11,15,4,12,1,4,1,0,76,42,39,1
34,4,8564,14,6,4,10,1,4,0,0,76,45,39,1
20,6,2952,10,7,4,10,1,4,0,0,76,56,39,1
37,4,4802,12,5,0,10,1,4,0,0,76,34,39,1
27,4,15748,9,4,0,4,4,4,1,0,75,45,39,1
26,4,1329,12,5,0,4,4,4,0,0,75,34,39,1
34,4,1262,15,1,0,1,4,4,0,0,75,34,39,1
26,4,14346,12,5,0,10,4,4,0,0,75,34,39,1
54,0,54,11,15,2,0,0,4,1,0,74,6,39,0
31,4,1820,9,4,3,12,4,4,0,0,73,66,39,1
54,4,862,11,15,2,12,0,4,1,0,72,47,39,0
56,6,11498,11,15,2,5,0,1,1,0,71,34,40,0
51,0,8010,15,1,2,0,5,4,0,0,71,34,39,0
50,0,6082,15,1,2,0,0,4,1,0,71,34,39,0
23,6,16058,14,6,4,10,1,4,1,0,70,39,39,1
33,4,11747,11,15,6,12,1,4,0,0,70,67,39,1
34,7,20037,8,2,0,13,1,4,1,0,70,32,39,1
25,4,595,15,1,4,4,1,4,0,0,70,34,39,1
22,4,3244,12,5,4,12,1,4,1,0,70,39,39,1
15,4,9627,9,4,4,4,2,4,1,0,70,45,39,1
36,4,15261,15,1,5,3,1,4,1,0,70,39,39,1
23,2,3695,15,1,4,11,1,4,1,0,70,34,39,1
21,4,11736,9,4,4,12,1,4,0,0,70,39,39,1
16,4,8326,8,2,5,3,1,4,1,0,70,36,39,1
26,4,4278,7,3,0,3,1,4,1,0,70,66,39,1
33,5,1835,1,13,4,4,2,4,1,0,70,34,39,1
27,4,4824,15,1,2,1,5,4,0,0,69,55,39,1
34,6,4719,9,4,2,12,0,1,1,0,69,34,3,1
24,4,2613,14,6,2,10,0,4,1,0,69,34,39,1
43,5,11012,8,2,2,7,0,4,1,0,69,66,0,1
20,4,15871,12,5,2,4,0,4,1,0,69,56,39,1
38,5,2047,14,6,2,10,0,4,1,0,69,28,12,1
22,5,15871,9,4,2,12,0,4,1,0,69,56,39,1
25,5,7514,14,6,2,10,0,4,1,0,69,56,39,1
32,4,8779,9,4,2,12,0,4,1,0,69,50,39,1
30,6,3540,11,15,2,4,0,4,1,0,69,45,39,1
24,2,14654,14,6,2,10,0,4,1,0,69,39,39,1
38,5,11118,9,4,2,4,0,4,1,0,69,45,39,1
22,4,6624,12,5,2,4,5,4,0,0,69,61,39,1
25,4,4223,9,4,2,4,0,4,1,0,69,56,39,1
24,0,13537,8,2,2,0,0,4,1,0,69,3,39,1
29,4,15766,12,5,2,12,0,4,1,0,69,61,39,1
23,4,4693,12,5,2,4,0,4,1,0,69,39,39,1
15,4,17769,9,4,2,10,0,4,1,0,69,42,39,1
24,5,3970,15,1,2,4,0,4,1,0,69,50,39,1
43,5,16080,14,6,2,10,0,4,1,0,69,75,39,1
14,4,13863,12,5,2,4,0,4,1,0,69,66,36,1
41,6,18313,15,1,2,5,0,4,1,0,69,34,39,1
20,5,14968,9,4,2,12,0,4,1,0,69,45,39,1
27,6,9074,9,4,2,4,0,4,1,0,69,45,39,1
22,6,10480,14,6,2,10,0,4,1,0,69,45,0,1
26,1,4427,14,6,2,10,0,1,1,0,69,50,0,1
38,5,14705,9,4,2,4,0,4,1,0,69,45,39,1
27,5,7971,12,5,2,10,0,4,1,0,69,50,39,1
22,4,8735,14,6,2,10,0,1,1,0,69,63,19,1
29,6,177,9,4,2,12,0,4,1,0,69,34,39,1
22,4,16576,15,1,2,5,0,4,1,0,69,93,39,1
45,5,19445,9,4,2,5,0,4,1,0,69,56,39,1
14,6,12595,11,15,2,8,5,4,0,0,69,34,39,1
29,4,8123,9,4,2,1,0,1,1,0,69,28,30,1
29,6,8748,14,6,2,10,0,4,1,0,69,75,39,1
22,5,3367,8,2,2,3,0,4,1,0,69,34,39,1
22,4,11745,14,6,2,12,0,4,1,0,69,93,39,1
42,4,20620,10,7,2,10,0,4,1,0,69,39,39,1
33,5,5349,14,6,2,10,0,4,1,0,69,56,39,1
29,4,18577,10,7,2,10,0,4,1,0,69,50,39,1
36,6,446,9,4,2,4,0,4,1,0,69,34,39,1
33,6,18220,14,6,2,10,0,4,1,0,69,23,39,1
24,5,1216,14,6,2,4,5,4,0,0,69,50,39,1
19,4,16504,9,4,2,12,0,4,1,0,69,39,39,1
21,4,7534,14,6,2,10,0,4,1,0,69,85,39,1
37,4,16796,15,1,2,12,0,4,1,0,69,45,39,1
33,4,183,9,4,2,4,5,4,0,0,69,12,39,1
30,4,3820,9,4,2,4,0,4,1,0,69,56,39,1
30,5,177,14,6,2,10,0,4,1,0,69,39,39,1
50,4,425,9,4,6,4,1,4,1,0,68,34,39,1
50,5,504,9,4,2,4,0,4,1,0,68,70,39,1
55,6,19147,10,7,2,10,0,4,1,0,68,17,39,1
55,0,1633,10,7,2,0,0,4,1,0,68,55,39,1
29,5,8002,12,5,2,4,0,4,1,0,68,45,39,1
61,5,7552,9,4,2,4,0,4,1,0,68,34,39,1
54,5,19935,9,4,2,4,0,4,1,0,68,56,39,1
66,5,4140,9,4,2,4,0,4,1,0,68,50,39,1
51,4,9929,12,5,2,4,0,4,1,0,68,34,39,1
9,4,6812,8,2,2,1,0,4,1,0,67,39,39,0
51,7,11620,10,7,2,10,0,4,1,0,67,56,39,1
32,5,4547,11,15,2,1,5,4,0,0,67,34,39,1
19,4,17186,11,15,2,10,0,4,1,0,67,56,39,0
53,6,4281,9,4,2,3,0,4,1,0,67,3,39,1
10,4,4376,15,1,2,1,5,2,0,0,67,12,39,0
18,2,6374,15,1,2,4,0,4,1,0,67,34,39,0
6,4,4910,11,15,2,12,0,4,1,0,67,34,39,0
64,4,6385,11,15,2,4,0,4,1,0,67,18,39,1
49,6,18264,10,7,2,12,0,4,1,0,67,17,39,1
54,4,4062,11,15,2,4,0,4,1,0,67,39,39,1
51,4,10490,15,1,2,12,0,4,1,0,67,50,39,1
51,7,9163,12,5,2,10,0,4,1,0,67,36,0,1
48,0,11952,9,4,2,0,0,4,1,0,67,34,39,1
35,4,10745,11,15,2,12,0,2,1,0,67,34,39,0
23,5,904,7,3,2,3,0,4,1,0,67,45,39,0
51,0,12822,9,4,2,0,0,4,1,0,67,28,39,1
4,4,17381,15,1,2,4,0,4,1,0,67,42,39,0
18,4,8116,11,15,2,3,0,4,1,0,67,34,39,0
53,5,9645,9,4,2,4,0,4,1,0,67,45,39,1
44,6,17089,11,15,2,5,0,4,1,0,66,45,39,0
48,5,20599,11,15,2,5,0,4,1,0,66,61,39,0
29,4,10216,4,9,0,3,1,4,0,0,65,39,39,0
9,2,5205,9,4,4,10,1,4,1,0,65,50,39,0
42,2,3721,11,15,6,5,4,4,1,0,65,34,39,0
44,4,18356,4,9,4,6,1,2,1,0,65,34,39,0
43,7,16893,9,4,0,10,1,4,0,0,65,34,39,0
32,5,3202,15,1,0,4,1,4,1,0,65,45,39,0
17,4,12616,9,4,3,7,1,1,1,0,65,34,0,0
8,4,20408,9,4,4,10,3,4,0,0,65,28,39,0
38,4,4549,15,1,4,1,1,2,0,0,65,39,0,0
42,2,5704,11,15,5,11,2,2,0,0,65,34,39,0
11,7,17460,15,1,5,4,3,4,1,0,65,34,39,0
26,0,4081,8,2,6,0,1,4,0,0,65,29,39,0
39,6,16508,12,5,0,12,4,4,0,0,65,56,39,0
24,4,4835,11,15,0,3,1,4,1,0,65,34,39,0
25,4,7975,11,15,4,1,2,2,0,0,65,34,38,0
11,4,12554,14,6,4,10,1,4,1,0,65,34,2,0
23,6,15964,14,6,0,8,1,4,0,0,65,28,39,0
52,4,11184,9,4,6,10,1,4,1,0,64,34,39,1
49,2,17020,11,15,2,3,0,4,1,0,63,34,39,0
52,4,2101,4,9,2,7,0,4,1,0,63,34,39,0
38,2,6220,12,5,2,10,5,4,0,0,63,34,39,0
40,1,17193,11,15,4,1,1,4,1,0,62,34,39,0
3,6,4437,15,1,4,5,3,4,1,0,62,1,39,0
16,4,14312,11,15,0,3,1,4,1,0,62,78,39,0
13,6,12824,15,1,4,12,2,1,1,0,62,34,35,0
23,4,14278,9,4,4,13,1,1,0,0,62,42,30,0
21,4,148,15,1,5,7,1,4,1,0,62,50,39,1
29,7,8098,7,3,0,1,4,4,1,0,62,31,39,1
12,4,2810,9,4,4,4,1,4,0,0,62,39,39,1
40,1,8788,9,4,4,1,1,4,1,0,62,34,39,0
22,4,4419,11,15,4,3,3,4,1,0,62,36,39,1
30,4,3001,9,4,0,4,1,4,1,0,62,34,39,1
9,4,13906,9,4,4,4,1,4,1,0,62,39,39,1
10,6,9702,11,15,4,3,1,4,1,0,62,45,39,0
6,4,234,9,4,4,10,3,4,0,0,62,34,39,1
17,4,17025,12,5,4,10,1,4,1,0,62,45,39,0
16,4,6242,2,14,0,3,1,4,1,0,62,36,39,0
21,2,4880,12,5,4,10,1,4,0,0,62,56,39,0
40,4,1829,15,1,6,1,4,4,0,0,62,31,39,1
19,4,3585,11,15,4,4,1,4,1,0,62,66,39,0
27,1,14596,9,4,0,13,1,4,1,0,62,34,39,1
32,7,13413,10,7,4,4,1,4,0,0,62,45,39,1
27,5,6510,15,1,4,12,1,4,1,0,62,56,39,0
38,4,18034,15,1,6,5,1,4,1,0,62,58,39,1
28,4,7538,11,15,0,5,1,4,1,0,62,38,39,1
31,4,6093,11,15,0,4,1,4,0,0,62,34,39,1
14,4,13113,9,4,2,4,0,4,1,0,61,39,39,1
38,2,21567,11,15,2,10,2,4,0,0,61,34,39,1
53,6,3424,15,1,2,4,0,4,1,0,61,34,39,1
53,6,2060,12,5,2,4,0,4,1,0,61,74,39,1
56,4,16071,9,4,2,10,0,4,1,0,61,34,39,1
55,6,14175,14,6,2,10,0,4,1,0,61,20,39,1
14,4,15799,11,15,5,7,4,4,0,0,60,34,39,0
11,4,2432,0,12,6,1,4,4,0,0,60,28,39,0
6,6,12883,9,4,4,1,3,4,1,0,59,34,39,1
32,2,185,6,11,6,6,4,4,1,0,59,34,39,1
10,2,21149,15,1,4,11,1,4,1,0,59,34,39,1
72,4,19120,11,15,4,8,1,2,1,0,58,34,39,0
51,4,5194,11,15,6,1,1,4,0,0,58,23,39,0
48,4,3887,11,15,0,1,4,4,0,0,58,54,2,0
48,0,3366,11,15,6,0,4,4,0,0,58,1,39,0
50,4,1576,9,4,0,4,1,4,0,0,58,44,39,0
49,2,16973,9,4,6,10,1,2,0,0,58,17,39,0
7,4,17404,15,1,4,1,1,4,1,0,57,16,39,0
27,6,5716,15,1,0,7,1,4,1,0,57,28,39,0
18,4,675,15,1,4,1,3,4,0,0,57,34,39,0
3,4,637,7,3,4,8,3,4,0,0,57,9,39,0
21,4,2232,11,15,0,3,1,4,1,0,57,34,39,0
22,4,4314,15,1,4,8,3,2,0,0,57,34,39,0
15,4,13856,15,1,4,7,2,4,0,0,57,34,15,0
25,4,12048,5,10,4,6,1,2,1,0,57,34,39,0
46,0,11509,11,15,0,0,1,4,0,0,57,34,39,0
25,5,11576,12,5,0,4,4,1,1,0,56,56,19,1
47,4,6770,1,13,2,3,0,4,1,0,55,34,39,0
11,4,5223,5,10,2,6,0,3,1,0,55,34,33,0
24,5,3125,8,2,2,12,0,3,1,0,55,78,26,0
24,6,3487,5,10,2,3,0,4,1,0,55,34,39,0
41,6,13265,3,8,2,14,0,4,1,0,55,9,39,0
42,7,14889,15,1,2,4,0,4,1,0,55,34,39,0
17,6,19458,11,15,2,5,5,4,0,0,55,3,39,0
28,4,5314,11,15,2,14,0,4,1,0,55,39,39,0
12,4,1641,11,15,2,1,5,4,0,0,55,34,39,0
30,4,6200,0,12,2,12,0,4,1,0,55,47,39,0
23,4,10057,15,1,2,7,0,4,1,0,55,34,39,0
30,6,7915,4,9,2,12,0,4,1,0,55,45,26,0
46,0,20678,9,4,2,0,0,4,1,0,55,39,39,0
24,6,5603,11,15,2,6,0,4,1,0,55,34,39,0
17,4,6718,15,1,2,14,0,2,1,0,55,34,39,0
49,0,6377,9,4,2,0,0,4,1,0,54,34,39,1
48,6,960,15,1,2,4,0,4,1,0,54,1,39,1
53,4,14034,11,15,2,6,0,4,1,0,54,34,39,1
58,6,15147,14,6,2,10,0,4,1,0,54,45,39,1
48,7,10281,11,15,2,1,0,4,1,0,54,34,39,1
48,1,11568,15,1,2,4,0,2,1,0,54,34,39,1
56,4,3707,15,1,2,10,0,4,1,0,54,45,39,1
43,0,3211,9,4,2,0,0,1,1,0,53,17,35,0
51,6,1424,8,2,2,10,0,4,1,0,52,34,39,0
57,6,1653,11,15,2,12,0,4,1,0,52,12,39,0
26,4,3403,4,9,2,7,5,1,0,0,50,67,0,0
2,6,16329,1,13,2,3,3,4,1,0,50,50,39,0
20,6,20038,11,15,2,3,0,4,1,0,50,34,39,0
28,1,9579,7,3,0,1,4,1,1,0,49,34,30,0
47,4,3824,12,5,2,10,0,1,1,0,48,56,3,0
13,4,3780,11,15,2,14,0,4,1,0,48,34,39,0
34,6,13372,15,1,2,10,5,4,0,0,48,56,2,0
18,4,13543,1,13,2,3,0,4,1,0,48,34,39,0
12,4,11879,11,15,2,1,5,4,0,0,48,12,39,0
17,4,8877,15,1,2,1,5,4,0,0,48,34,39,0
24,4,2165,11,15,2,3,0,4,1,0,47,56,39,0
18,4,19988,15,1,2,3,0,4,1,0,47,39,39,0
9,4,1323,15,1,2,1,0,4,1,0,47,34,39,0
37,4,5790,11,15,2,14,0,4,1,0,47,45,39,0
35,2,14963,11,15,2,3,0,4,1,0,47,34,39,0
33,6,409,11,15,2,5,0,4,1,0,47,12,39,0
14,4,14401,15,1,2,1,0,4,1,0,47,34,39,0
21,1,12403,11,15,2,14,0,4,1,0,47,34,39,0
13,4,20739,15,1,2,3,0,4,1,0,47,34,39,0
17,2,451,9,4,2,10,0,4,1,0,47,34,39,0
14,4,4806,15,1,2,12,0,4,1,0,47,52,39,0
35,4,8408,11,15,2,7,0,4,1,0,47,31,39,0
37,4,20612,11,15,2,3,0,4,1,0,47,34,39,0
21,4,4680,11,15,2,3,0,4,1,0,47,38,39,0
22,4,2854,11,15,2,7,0,4,1,0,47,34,39,0
12,4,12168,8,2,2,13,0,4,1,0,47,34,39,0
28,4,7423,11,15,2,3,0,4,1,0,47,34,39,0
17,4,13215,11,15,2,14,0,4,1,0,47,50,39,0
21,4,4226,11,15,2,3,0,4,1,0,47,34,31,0
22,4,15291,0,12,2,3,0,4,1,0,47,34,39,0
44,4,6626,11,15,2,3,0,4,1,0,47,12,39,0
26,4,1440,1,13,2,14,0,4,1,0,46,34,39,0
18,4,17855,15,1,2,6,0,4,1,0,46,34,39,0
29,4,15347,15,1,2,12,0,4,1,0,46,45,39,0
21,4,16759,11,15,2,6,0,4,1,0,46,34,39,0
25,6,1784,11,15,2,3,0,4,1,0,46,42,39,0
17,4,21057,7,3,2,13,0,4,1,0,46,1,39,0
12,4,9177,5,10,2,5,0,4,1,0,46,34,39,0
15,4,12998,1,13,2,3,0,4,1,0,46,23,39,0
43,4,2264,11,15,2,11,0,4,1,0,46,27,39,0
32,2,589,11,15,2,3,0,4,1,0,45,34,39,0
36,2,2801,11,15,2,8,0,4,1,0,45,39,39,0
39,4,9083,5,10,2,6,0,4,1,0,45,34,39,0
31,4,18058,1,13,2,14,0,4,1,0,45,34,39,0
15,1,3744,9,4,2,10,0,1,1,0,45,34,20,0
25,6,5651,11,15,2,3,0,4,1,0,45,34,39,0
15,4,225,7,3,2,10,0,4,1,0,45,36,39,0
11,2,6113,7,3,2,11,0,4,1,0,45,34,9,0
9,4,17143,8,2,2,3,0,4,1,0,45,34,39,0
42,4,5572,9,4,2,4,0,4,1,0,45,45,39,0
30,6,9686,9,4,2,10,0,4,1,0,45,23,39,0
9,0,2590,9,4,2,0,0,4,1,0,45,34,39,0
24,4,18025,11,15,2,3,0,4,1,0,45,56,39,0
19,4,7065,11,15,2,3,3,4,0,0,45,34,39,0
28,4,16848,9,4,2,12,0,4,1,0,45,50,39,0
13,4,18854,7,3,2,10,0,4,1,0,45,34,39,0
19,4,650,11,15,2,14,0,4,1,0,45,34,39,0
17,5,8729,11,15,2,4,0,4,1,0,45,34,39,0
36,4,14097,11,15,2,14,0,4,1,0,45,34,39,0
34,4,9896,11,15,2,12,0,4,1,0,45,39,39,0
30,6,16805,10,7,2,14,0,4,1,0,45,39,39,0
2,0,11996,11,15,4,0,4,4,1,0,44,34,39,0
13,4,19530,11,15,4,1,4,4,1,0,44,36,39,0
3,4,15362,11,15,4,8,4,4,1,0,44,34,39,0
25,1,20298,12,5,0,1,1,4,1,0,44,56,39,0
14,4,18556,1,13,4,3,1,4,1,0,44,34,39,0
16,4,9105,9,4,4,6,1,4,1,0,44,34,39,0
8,4,1806,7,3,4,13,1,4,0,0,44,23,39,0
3,4,3655,11,15,4,8,1,4,1,0,44,34,39,0
6,4,10149,11,15,4,1,3,2,1,0,44,34,39,0
38,0,1987,11,15,5,0,1,2,0,0,44,34,39,0
24,6,13806,15,1,0,3,1,4,1,0,44,45,39,0
37,6,8867,11,15,6,3,1,4,1,0,44,28,39,0
8,4,17390,11,15,4,3,1,4,1,0,44,45,39,0
2,4,13153,15,1,4,1,3,4,0,0,44,34,39,0
7,4,9825,11,15,4,1,1,4,0,0,44,30,39,0
39,1,19738,9,4,4,14,1,2,1,0,44,61,39,0
4,2,234,15,1,4,8,1,4,0,0,44,34,39,0
17,4,9763,11,15,4,7,1,2,1,0,44,34,39,0
2,4,8717,11,15,4,1,3,4,1,0,44,34,39,0
4,0,17837,15,1,4,0,1,4,1,0,44,39,39,0
31,4,21197,11,15,5,1,1,4,0,0,44,34,39,0
17,4,6060,9,4,4,8,1,4,1,0,44,34,39,0
14,4,7748,11,15,4,5,1,4,1,0,44,34,39,0
19,4,14676,11,15,4,8,1,2,0,0,44,34,39,0
10,4,2105,11,15,4,8,1,4,1,0,43,34,39,0
10,4,1373,15,1,4,3,3,1,1,0,43,34,30,0
18,4,7437,9,4,0,12,1,4,0,0,43,61,39,0
14,6,4805,9,4,3,4,1,4,1,0,43,56,39,0
10,1,18705,11,15,4,3,1,2,1,0,43,34,39,0
11,2,14959,7,3,4,1,1,4,0,0,43,34,39,0
25,4,6202,11,15,0,14,1,4,1,0,43,40,39,0
27,4,16794,15,1,5,4,1,4,1,0,43,39,9,0
24,4,19278,9,4,0,12,1,4,1,0,43,51,39,0
11,4,7179,9,4,4,13,1,4,0,0,43,28,39,0
24,1,7279,11,15,4,1,1,4,0,0,43,34,39,0
18,4,19325,0,12,6,8,1,2,0,0,43,34,39,0
41,4,2188,12,5,0,1,1,4,0,0,43,39,39,0
23,4,3085,11,15,0,7,1,4,1,0,43,42,39,0
14,4,7133,8,2,4,14,3,4,1,0,43,56,39,0
13,4,9598,11,15,4,12,1,4,0,0,43,34,39,0
15,4,8842,15,1,5,13,1,0,1,0,43,34,39,0
8,4,922,15,1,4,1,1,4,1,0,43,34,39,0
17,4,8675,11,15,4,14,3,4,1,0,43,34,39,0
39,4,16496,15,1,0,4,1,4,0,0,43,34,39,0
28,4,40,11,15,0,8,1,4,1,0,43,34,39,0
33,4,367,11,15,4,1,1,4,1,0,43,34,39,0
10,4,2647,0,12,4,12,2,4,1,0,43,34,39,0
34,4,21351,15,1,2,12,0,4,1,0,42,34,39,1
23,4,9622,7,3,2,13,0,4,1,0,42,56,39,1
24,4,18474,12,5,2,4,0,4,1,0,42,61,39,1
32,4,8097,12,5,2,4,0,4,1,0,42,39,39,1
20,4,10895,8,2,2,3,0,4,1,0,42,34,39,1
19,5,675,9,4,2,4,5,4,0,0,42,39,39,1
18,4,8820,14,6,2,10,0,4,1,0,42,75,39,1
12,5,12988,11,15,2,12,5,4,0,0,42,17,39,1
33,4,2738,9,4,2,10,5,4,0,0,42,34,39,1
29,4,2398,9,4,2,12,0,4,1,0,42,34,39,1
27,6,6601,11,15,2,4,0,4,1,0,42,39,39,1
25,2,938,12,5,2,4,0,4,1,0,42,34,39,1
21,1,16166,14,6,2,10,0,4,1,0,42,45,39,1
28,4,8106,9,4,2,4,0,4,1,0,42,50,39,1
26,2,3690,12,5,2,4,0,4,1,0,42,56,39,1
30,5,3088,14,6,2,10,0,4,1,0,42,56,39,1
41,5,16628,14,6,2,10,0,4,1,0,42,45,39,1
31,4,15917,14,6,2,13,0,4,1,0,42,34,39,1
25,2,12213,9,4,2,4,0,4,1,0,42,42,39,1
38,4,4158,12,5,2,4,0,4,1,0,42,45,39,1
34,4,12601,0,12,2,12,0,4,1,0,42,34,39,1
15,4,14583,12,5,2,4,0,2,1,0,42,34,39,1
28,2,4701,9,4,2,4,0,4,1,0,42,45,39,1
39,4,8110,12,5,2,3,0,4,1,0,42,38,39,1
21,4,11565,12,5,2,4,0,4,1,0,42,56,39,1
28,4,15960,8,2,2,12,0,4,1,0,42,45,39,1
32,4,138,12,5,2,10,5,4,0,0,42,34,39,1
19,4,7051,11,15,2,10,0,4,1,0,42,34,39,1
32,4,7213,12,5,2,4,0,4,1,0,42,34,39,1
13,4,15352,10,7,2,10,0,1,1,0,42,34,3,1
25,5,2025,14,6,2,10,0,4,1,0,42,45,39,1
38,4,15501,12,5,2,4,0,4,1,0,42,34,39,1
17,4,6760,9,4,2,4,0,4,1,0,42,39,39,1
37,4,20937,10,7,2,10,0,4,1,0,42,45,39,1
25,6,15664,9,4,2,4,0,4,1,0,42,66,39,1
8,2,21066,9,4,2,10,0,4,1,0,42,34,39,1
38,5,3036,11,15,2,4,0,4,1,0,42,39,39,1
41,7,8242,12,5,2,10,0,4,1,0,42,45,39,1
45,4,10452,11,15,2,14,0,4,1,0,42,56,39,1
26,5,10672,14,6,2,10,0,4,1,0,42,34,39,1
40,2,5975,12,5,2,10,5,2,0,0,42,34,39,1
25,5,13775,10,7,2,10,0,4,1,0,42,56,39,1
46,6,16637,9,4,2,10,0,1,1,0,42,25,3,1
30,6,10126,14,6,2,10,0,4,1,0,42,45,39,1
20,4,21570,9,4,2,4,0,4,1,0,42,45,39,1
23,4,9790,9,4,2,12,0,4,1,0,42,56,39,1
26,4,1570,9,4,2,10,0,4,1,0,42,45,39,1
26,7,15975,14,6,2,10,0,4,1,0,42,66,39,1
24,6,8949,14,6,2,10,0,4,1,0,42,56,39,1
15,4,9314,14,6,2,10,0,4,1,0,42,56,39,1
30,4,7740,9,4,2,12,0,4,1,0,42,34,39,1
22,1,6109,15,1,2,6,0,4,1,0,42,56,39,1
36,4,8207,15,1,2,4,0,4,1,0,42,34,39,1
17,4,7748,9,4,2,4,0,4,1,0,42,39,39,1
19,4,15792,9,4,2,4,0,4,1,0,42,34,39,1
30,2,14160,12,5,2,4,0,4,1,0,42,35,39,1
35,4,11752,8,2,2,4,0,4,1,0,42,39,39,1
23,6,14141,14,6,2,10,0,0,1,0,42,56,39,1
25,5,2485,9,4,2,10,0,4,1,0,42,34,39,1
34,4,209,12,5,2,11,0,4,1,0,42,34,39,1
38,4,9673,12,5,2,13,0,4,1,0,42,12,39,1
21,4,961,11,15,2,12,0,4,1,0,42,93,39,1
35,4,3109,15,1,2,4,0,4,1,0,42,45,39,1
43,1,5151,11,15,2,13,0,4,1,0,42,34,39,1
38,4,2090,8,2,2,10,0,4,1,0,42,45,11,1
30,2,14692,12,5,2,4,0,2,1,0,42,45,39,1
29,4,222,12,5,2,13,0,4,1,0,42,34,39,1
18,4,20865,12,5,2,10,0,4,1,0,42,39,39,1
42,5,10797,9,4,2,4,0,4,1,0,42,45,39,1
40,4,18388,12,5,2,10,0,4,1,0,42,39,39,1
29,4,5313,15,1,2,10,0,4,1,0,42,45,39,1
29,1,10081,12,5,2,4,0,4,1,0,42,34,39,1
35,4,5431,11,15,2,3,0,4,1,0,42,34,39,1
28,4,17021,10,7,2,10,5,4,0,0,42,23,39,1
20,4,12018,9,4,2,13,0,4,1,0,42,34,39,1
29,4,16115,12,5,2,4,0,4,1,0,42,39,39,1
27,4,4442,9,4,2,10,0,2,1,0,42,45,39,1
28,4,20751,8,2,2,4,0,4,1,0,42,45,39,1
26,4,19369,11,15,2,7,0,4,1,0,42,47,39,1
37,2,7300,12,5,2,10,0,4,1,0,42,34,39,1
33,4,3963,12,5,2,10,0,4,1,0,42,34,39,1
34,4,8860,9,4,2,4,0,4,1,0,42,56,0,1
28,4,10952,9,4,2,10,0,4,1,0,42,34,39,1
19,4,8121,12,5,2,10,0,4,1,0,42,56,39,1
10,4,7055,9,4,2,4,0,4,1,0,42,45,39,1
19,4,7713,9,4,2,12,0,4,1,0,42,28,39,1
36,4,4103,12,5,2,4,0,4,1,0,42,50,39,1
34,2,1951,12,5,2,10,0,4,1,0,42,28,39,1
11,4,1185,9,4,2,10,5,4,0,0,42,16,39,1
30,6,11172,15,1,2,3,0,4,1,0,42,34,39,1
28,4,11474,9,4,2,4,0,4,1,0,42,56,39,1
28,2,4639,12,5,2,10,5,4,0,0,42,28,39,1
22,6,9102,14,6,2,10,0,4,1,0,42,45,39,1
22,4,10480,9,4,2,4,0,4,1,0,42,34,39,1
38,6,12397,12,5,2,10,0,4,1,0,42,34,39,1
45,4,20169,15,1,2,4,0,4,1,0,42,92,39,1
32,4,2924,9,4,2,12,0,1,1,0,42,45,35,1
36,6,7,12,5,2,4,0,4,1,0,42,34,39,1
14,4,6982,12,5,2,4,0,4,1,0,42,42,39,1
25,5,7644,11,15,2,4,0,4,1,0,42,56,22,1
